nîûndû	n i ũ d u
nĩũndũ	n e o d o
one	o n e
rigathi	r i ɡ a s i
rugongo	r u ɡ o ɡ o
rûa	r u a
rĩera	r e r a
stadium	s t a d i ũ
utonga	u t o ɡ a
way	w a j
wina	w ĩ n a
wiyune	w i j u n e
wíyathi	w i j a s i
yaku	j a k u
yoothe	j o s e
írio	i r i o
îtatû	i t a t u
útonga	u t o ɡ a
ûndû	ũ d u
ūteti	u t e t i
ūtonga	u t o ɡ a
angí	ã ɡ i
apple	a p l e
baba	b a b a
borithi	b o r i s i
dini	d i n i
gatiba	ɡ a t i b a
geography	ɡ e o ɡ r a f j
gikiro	ɡ i k i r o
gìtì	ɡ i t i
igùrù	i ɡ u r u
iría	i r i a
itatu	i t a t u
itemi	i t e m i
kahúa	k a h u a
kanana	k a n a n a
kirima	k i r i m a
kithure	k i s u r e
kuringana	k u r ĩ ɡ a n a
kúri	k u r i
mabũrũri	m a b o r o r i
madaraka	m a d a r a k a
maingì	m a ĩ ɡ i
matatu	m a t a t u
maùndù	m a ũ d u
mbaù	b a u
metre	m e t r e
moothe	m o s e
mubira	m u b i r a
mugwaja	m u ɡ w a d a
muiru	m u i r u
mutune	m u t u n e
mútune	m u t u n e
mūthia	m u s i a
nawe	n a w e
ndigirii	d i ɡ i r i
negative	n e ɡ a t i f e
new	n e w
ngothi	m o s i
nio	n i o
nuclear	n u t l e a r
nyahururu	m a h u r u r u
nyamũ	m a m o
nyumba	m ũ b a
nìkuo	n i k u o
nìo	n i o
nìrìo	n i r i o
nìūndū	n i ũ d u
nĩguo	n e ɡ u o
onayo	o n a j o
peace	p e a t e
ruciini	r u t i ĩ i
ruhonge	r u h o ɡ e
ruo	r u o
ruriri	r u r i r i
rùrù	r u r u
selassie	s e l a s i e
taūni	t a u n i
thinacara	s i n a t a r a
thìinì	s i ĩ n i
toro	t o r o
wacio	w a t i o
yari	j a r i
ìri	i r i
ùgwo	u ɡ w o
úgwati	u ɡ w a t i
úrími	u r i m i
úyú	u j u
ûhotekeku	u h o t e k e k u
ĩngĩ	ẽ ɡ e
ĩtano	e t a n o
ũgima	o ɡ i m a
ũtukũ	o t u k o
ūrìmi	u r i m i
aikari	a i k a r i
aingî	a ĩ ɡ i
akuire	a k u i r e
america	a m e r i t a
ateng'eri	a t ẽ ɡ e r i
athomeire	a t o m e i r e
atî	a t i
aya	a j a
biū	b i u
century	t ẽ t u r i
east	e a s t
eid	e i d
fitr	f i t r
football	f o t b a l
gikundi	ɡ i k ũ d i
guthii	ɡ u s i
gíki	ɡ i k i
gûkorûo	ɡ u k o r u o
gûthiî	ɡ u s i
gĩcigo	ɡ e t i ɡ o
gĩthiũrũrĩ	ɡ e s i o r o r e
gũthiĩ	ɡ o s i e
gũtuĩka	ɡ o t u e k a
hakuhì	h a k u h i
house	h o u s e
igùru	i ɡ u r u
ingĩra	ĩ ɡ e r a
ithatatú	i s a t a t u
itua	i t u a
juja	d u d a
kandi	k ẽ d i
